NOM;ANNREF;GEOGRAPHIE;GEOGRAPHIE_LIB;IPPAP_DIM1;IPPAP_DIM1_LIB;IPPAP_DIM1_MOD;IPPAP_DIM2;IPPAP_DIM2_LIB;IPPAP_DIM2_MOD;IPPAP_DIM3;IPPAP_DIM3_LIB;IPPAP_DIM3_MOD;VALEUR;QUALITE
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Decembre;012;129.2;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Septembre;009;126.3;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Fevrier;002;126.7;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Juin;006;128.5;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mars;003;128;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Aout;008;124.1;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Moyenne annuelle;013;127.2;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Octobre;010;127.2;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mai;005;130.4;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Janvier;001;128.5;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Juillet;007;122.4;OUI
IPPAP;2024;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Novembre;011;127.6;OUI
