Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","1180","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","957.6","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2019","2019","t","1130","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","2110","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","976.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2020","2020","t","2060","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","2210","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","877.8","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2021","2021","t","1940","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","2210","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","1140.3","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2022","2022","t","2520","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2023","2023","ha","2330","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","914.2","A","Official value",""
"QCL","Crops and livestock products","250","France","5510","Production","01371","Almonds, in shell","2023","2023","t","2130","A","Official value",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01371","Almonds, in shell","2024","2024","ha","2720","A","Official value",""
"QCL","Crops and livestock products","250","France","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","801.5","A","Official value",""
