"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010777284";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre hybride";"France";"sans objet";"Mensuelle";"Indice"
"010777288";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences orge hybride fourragère";"France";"sans objet";"Mensuelle";"Indice"
"010777289";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences autres céréales à paille (triticale, avoine, seigle)";"France";"sans objet";"Mensuelle";"Indice"
"010777293";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences de sorgho et de riz";"France";"sans objet";"Mensuelle";"Indice"
"010777298";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences de pois protéagineux";"France";"sans objet";"Mensuelle";"Indice"
"010777299";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences autres oléagineux et protéagineux  (soja, lin, féverole, lupin)";"France";"sans objet";"Mensuelle";"Indice"
"010777301";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences de cultures intermédiaires pièges à nitrates (CIPAN)";"France";"sans objet";"Mensuelle";"Indice"
"010777302";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences jachères et culture couvre sol (hors CIPAN, vesce, moutarde, phacélie)";"France";"sans objet";"Mensuelle";"Indice"
"010777307";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Semences et plants produits tropicaux (ananas, banane, canne à sucre)";"France";"sans objet";"Mensuelle";"Indice"
"010777329";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Autres engrais simples phosphatés (superphosphates et autres engrais phosphatés)";"France";"sans objet";"Mensuelle";"Indice"
"010777338";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Phosphopotassiques";"France";"sans objet";"Mensuelle";"Indice"
"010777339";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Autres engrais P K";"France";"sans objet";"Mensuelle";"Indice"
"010777340";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais binaires N K";"France";"sans objet";"Mensuelle";"Indice"
"010777342";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 01 (N + P +K<40 ; P/N<=1 ; K/P<=1)";"France";"sans objet";"Mensuelle";"Indice"
"010777344";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 03 ( N + P + K<40 ; P/N>1 ; K/P<=1)";"France";"sans objet";"Mensuelle";"Indice"
"010777345";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 04 ( N + P + K<40 ; P/N>1 ; K/P>1)";"France";"sans objet";"Mensuelle";"Indice"
"010777348";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 07 (40<= N + P + K<=45 ; P/N>1 ; K/P<=1)";"France";"sans objet";"Mensuelle";"Indice"
"010777349";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 08 (40<= N + P + K<=45 ; P/N>1 ; K/P>1)";"France";"sans objet";"Mensuelle";"Indice"
"010777350";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Engrais ternaires classe 09 ( N + P + K>45 ; P/N<=1 ; K/P<=1)";"France";"sans objet";"Mensuelle";"Indice"
"010777362";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Chaux calcique et chaux magnésienne";"France";"sans objet";"Mensuelle";"Indice"
"010777365";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Supports de culture (tourbe, terreau, terre de bruyère, écorces, fibres de bois, terreau, terre de bruyere et autres)";"France";"sans objet";"Mensuelle";"Indice"
"010777371";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Fongicides betteraves industrielles et sucrières";"France";"sans objet";"Mensuelle";"Indice"
