"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010777319";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Engrais et amendements";"France";"sans objet";"Mensuelle";"Indice"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
