"Libellé";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes";"Indice mensuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais et amendements";"Codes"
"idBank";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";"";"010777319";""
"Mises à jour";"31/07/2026 12:00";"";"30/06/2026 12:00";"";"29/05/2026 12:00";"";"30/04/2026 12:00";"";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"04/11/2024 15:49";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-06";"180.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-05";"182.9";"A";"182.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-04";"182.9";"A";"182.6";"A";"182.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-03";"177.1";"A";"177.1";"A";"176.9";"A";"176.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-02";"164.8";"A";"164.8";"A";"164.8";"A";"164.8";"A";"164.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2026-01";"162.2";"A";"162.2";"A";"162.2";"A";"162.2";"A";"162.0";"A";"161.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025-12";"161.6";"A";"161.6";"A";"161.6";"A";"161.6";"A";"161.6";"A";"161.5";"A";"161.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
