idx,id,CODE_CULTU,path,meanCLD,sequencelength,classid,classname,region
0,6017564,PTR,csv/frh04/6017564.csv,780.0757422969187,102,8,temporary meadows,frh04
6,6054675,PTR,csv/frh04/6054675.csv,731.4285714285714,49,8,temporary meadows,frh04
7,6018665,PTR,csv/frh04/6018665.csv,710.530612244898,49,8,temporary meadows,frh04
8,6019318,PTR,csv/frh04/6019318.csv,770.5346534653465,101,8,temporary meadows,frh04
9,6019435,RGA,csv/frh04/6019435.csv,600.6257149626019,49,8,temporary meadows,frh04
10,6019436,BTH,csv/frh04/6019436.csv,586.861362773199,49,1,wheat,frh04
11,6057048,PTR,csv/frh04/6057048.csv,689.6326530612245,49,8,temporary meadows,frh04
14,6017566,BTH,csv/frh04/6017566.csv,762.5777244445906,49,1,wheat,frh04
18,6022687,BTH,csv/frh04/6022687.csv,769.6123588829471,102,1,wheat,frh04
19,6022885,MIE,csv/frh04/6022885.csv,616.4195993836672,50,3,corn,frh04
21,6023168,MIE,csv/frh04/6023168.csv,815.0204081632653,49,3,corn,frh04
22,6017292,PPH,csv/frh04/6017292.csv,688.6841671331874,49,7,permanent meadows,frh04
23,6017293,PPH,csv/frh04/6017293.csv,681.7232282134412,49,7,permanent meadows,frh04
26,6017296,MIS,csv/frh04/6017296.csv,607.2701514447645,50,3,corn,frh04
27,6017297,ORH,csv/frh04/6017297.csv,611.4958672231389,50,0,barley,frh04
28,6017298,MIS,csv/frh04/6017298.csv,621.8822317596566,50,3,corn,frh04
29,6017299,MIS,csv/frh04/6017299.csv,594.2926085050417,50,3,corn,frh04
32,6017302,MIS,csv/frh04/6017302.csv,625.6527033095773,50,3,corn,frh04
34,6017306,MIS,csv/frh04/6017306.csv,734.0562962962963,50,3,corn,frh04
35,6017307,MIS,csv/frh04/6017307.csv,737.28,50,3,corn,frh04
36,6017308,MIS,csv/frh04/6017308.csv,737.28,50,3,corn,frh04
37,6017336,PTR,csv/frh04/6017336.csv,767.0214146946178,49,8,temporary meadows,frh04
39,6017317,PTR,csv/frh04/6017317.csv,776.2586504989634,102,8,temporary meadows,frh04
40,6017318,PPH,csv/frh04/6017318.csv,786.3914858208855,102,7,permanent meadows,frh04
41,6017319,PPH,csv/frh04/6017319.csv,801.5103464310625,102,7,permanent meadows,frh04
42,6017320,PRL,csv/frh04/6017320.csv,813.1764705882352,102,7,permanent meadows,frh04
43,6017321,PRL,csv/frh04/6017321.csv,811.9633662915205,102,7,permanent meadows,frh04
44,6017322,PTR,csv/frh04/6017322.csv,794.5225225225225,102,8,temporary meadows,frh04
45,6061943,RGA,csv/frh04/6061943.csv,808.5770268717101,102,8,temporary meadows,frh04
46,6017323,ORH,csv/frh04/6017323.csv,804.7908473797266,102,0,barley,frh04
47,6017324,PTR,csv/frh04/6017324.csv,811.1814624682559,102,8,temporary meadows,frh04
48,6017325,MIE,csv/frh04/6017325.csv,778.5967731412005,102,3,corn,frh04
49,6017326,BTH,csv/frh04/6017326.csv,771.4205924494274,102,1,wheat,frh04
51,6017328,ORH,csv/frh04/6017328.csv,757.1091924379358,102,0,barley,frh04
52,6017329,PTR,csv/frh04/6017329.csv,804.9901694683302,102,8,temporary meadows,frh04
53,6017330,MIE,csv/frh04/6017330.csv,722.153484055721,102,3,corn,frh04
54,6017331,PTR,csv/frh04/6017331.csv,740.6500584519744,102,8,temporary meadows,frh04
55,6017333,PTR,csv/frh04/6017333.csv,733.1140025874273,49,8,temporary meadows,frh04
56,6017334,PTR,csv/frh04/6017334.csv,752.3265306122449,49,8,temporary meadows,frh04
57,6017335,PTR,csv/frh04/6017335.csv,762.4298829026478,49,8,temporary meadows,frh04
58,6063883,ORH,csv/frh04/6063883.csv,686.1086834733893,102,0,barley,frh04
59,6017337,PTR,csv/frh04/6017337.csv,707.4585537071971,49,8,temporary meadows,frh04
60,6017338,PTR,csv/frh04/6017338.csv,700.2290113784387,49,8,temporary meadows,frh04
61,6017339,PTR,csv/frh04/6017339.csv,725.2738123592218,49,8,temporary meadows,frh04
62,6017340,PTR,csv/frh04/6017340.csv,786.1232986210097,49,8,temporary meadows,frh04
63,6017341,PTR,csv/frh04/6017341.csv,698.620013085896,49,8,temporary meadows,frh04
